x,y,z
242.7452256422195,366.5532862497751,a
284.5482635441148,340.1306101063146,a
284.21475626165403,372.27514741324126,a
210.031359091156,363.55934391679784,a
217.95584103315304,344.44957014960715,a
224.60349782821356,392.5620622443831,a
240.84180716851395,382.43429132846705,a
229.36285577898684,355.93889173899186,a
229.989389868122,347.4370498945856,a
266.53001695890526,331.43223280862424,a
265.2047874002619,382.4350438553281,a
176.29943549077257,354.1663188800027,a
217.3365282970672,390.1678210597065,a
292.6181241442703,330.96676056062455,a
246.12491614364427,404.0318562251016,a
236.36327917420684,423.95189861815896,a
242.03817711296858,404.050079782627,a
288.8525059258936,370.8349291288739,a
259.3862951648243,421.23044393122467,a
292.1264265276538,358.5205181391591,a
284.67054456973307,375.42249530787285,a
292.6785176181618,358.93933364409025,a
255.64279480166257,380.8512631876888,a
288.13535608972495,392.11001869266613,a
278.6189889628898,451.73236591573914,a
236.1832610586743,306.8319393146575,a
278.09089474210776,330.52902598386936,a
260.2043988358868,374.11419482901795,a
275.97422595848406,371.99415400206163,a
240.74043688594463,326.85011300339823,a
236.12966973400287,331.75059854241465,a
250.73395686862025,352.5902773682051,a
253.3319687867864,307.24386722101633,a
248.00283249384827,337.17773170269083,a
207.13414863878603,304.70892601269577,a
225.20340616368594,289.5915841538581,a
206.8455555592417,311.78905755772473,a
238.8274241060794,286.3248223332397,a
243.67382049660114,305.5544709663883,a
258.83628838365684,308.47358917458956,a
225.18793964713976,263.26404833397123,a
239.51918150240505,302.2010550475734,a
243.19685587488647,339.5633742839378,a
239.85508060805773,285.4783683153346,a
278.740148053567,310.05662962897713,a
271.5547331299813,340.91506427172874,a
270.70948081554224,382.9900103565639,a
277.0139327897384,352.64204050723833,a
298.9432150063966,372.74134543001617,a
302.90380867007406,365.46446396567535,a
244.67065894970128,344.7691314103058,a
251.03426841673195,416.7287287428222,a
306.54223844333046,391.1205015261041,a
300.4586318629731,365.2814883695444,a
261.6733884125977,380.5764758205628,a
277.09048029094635,383.1099073847542,a
288.76253598117927,354.93042321375435,a
279.8288771822815,317.2379434445324,a
271.779599520567,309.5856048555059,a
285.492586467525,325.5618993046885,a
289.79427843087643,284.5778928250029,a
297.88407378962034,327.0841829983682,a
214.79361009702103,270.9749100223513,a
244.71260448005626,292.77065500159387,a
271.9793753009156,293.27120625097893,a
243.70175327596493,293.2811533094514,a
276.01497498324863,304.00200399582684,a
261.9109693405718,298.3867685318481,a
309.83888102083097,331.75099577682386,a
240.73521995154903,309.2092291198054,a
255.95897058664718,342.2260305593805,a
305.86967987611615,321.5648044627634,a
309.6524660013175,346.3662319887268,a
296.7814788346023,303.4104895399505,a
233.02669075325764,320.0586260546312,a
268.41985950712626,312.99988943216795,a
283.3900165328213,344.49505285947373,a
283.7608091405799,297.12662457069973,a
293.3512100381419,248.6970353088712,a
278.9930239354086,283.43813377586423,a
305.12129965203326,304.9661915306592,a
279.6070648970378,246.80297281080448,a
251.83779960245747,268.93978815084847,a
293.7540438050778,246.47857198516846,a
259.9765970072209,268.1719950810137,a
246.80775515382547,307.16819529857946,a
245.980778089465,288.21117828034744,a
314.05562033493936,311.51423935631,a
269.54755330753574,362.57384643406783,a
303.970082416423,330.6799728692512,a
294.97223621814777,368.77177158776317,a
309.0195129068099,372.29837233904317,a
284.0238503963524,322.4558995528047,a
294.5413214406452,361.2225770393074,a
317.94798861469246,367.71715594215635,a
281.56630063657923,405.7628365110021,a
293.82155293438154,361.6462602649485,a
336.43785497714805,352.3953076426888,a
338.6506926886846,358.0118446760465,a
275.2477249865389,372.7543279789861,a
310.14546610782645,331.4828163131906,a
283.3993209101129,360.50984413430064,a
329.9751951858431,366.64072385647,a
301.14946444627594,304.3564039147273,a
280.6322810593777,308.6124563382881,a
327.19660802513187,334.42480817440963,a
293.46950220874356,310.26914429518115,a
314.41688696539524,312.2664232973467,a
289.00172462454566,349.9676437326732,a
324.6149849070149,354.7692097848301,a
308.46297071081676,373.62799980409886,a
310.59298518686563,371.6073453871663,a
341.29415818164824,351.99000989875356,a
311.5146069103924,385.092715156682,a
326.3927872565813,360.98355324103045,a
358.5414969593903,373.1039696986957,a
313.5900441185123,385.07486225976294,a
324.72266297078284,376.3685883530079,a
270.99697711469474,405.1712607810109,a
373.1408255173984,408.7026887108601,a
343.76735030806094,365.7428608555417,a
321.6322574910007,370.2513481047797,a
